Statement,Impact,StateLength
t looks as if today our whole nation is mourning the death of නැදුන්ගමුවේ රාජා. There is no short of people crying and posting sad things about this animal after all these years.,Negative,178
දවස් ගානක් කටයි පුකයි වහන් හිටපු හදවතින්ම ** බයියො ටික අන්න Congratulations to Ranil කිය කිය එලියට එනවා,Negative,103
මෙ අක්කාගෙ News එක මම දැක්කා News 1st වල දැක්ක වෙලෙම පපුව හිර උනා ලමයින්ට කන්න දෙන්නෙ කොස්ඇට බැදලා ලු.පවු දෙවියනෙ.කොච්චර අසරනස දුප්පත් ද?එයාලාගෙ තාත්තා මෙලොකෙ හැර ගිහින්.පවු ඉතිං එයාලා අසරනයි.මට එයාලාව contact කරගන්න සිරසෙන් ලොකු උදව්වක් කරා .ඉතිං Newsfirst.lk ඔයාලාට ගොඩක් පිං මෙහෙම හරි එයාලාව පෙන්නන එකට.,Positive,306
"my friend and Karate Sensei Don Ravindu Sachin persuaded me to take part in an all-island club tournament with just 1 month of training. Me being usual said ""අවුලක් නෑ ගහමු"" and played against 1 opponent today and won a gold medal in my division.",Positive,246
"ඇයි අපිට මෙච්චර injuries එන්නෙ?
""ක්‍රිකට් ගහද්දි ඔලුව පාවිච්චි කරන්නත් ඕන""",Negative,74
රනිලට acting ජනපති පුටුවේ ඉන්න නම් ගෝටා මෙරටින් පිට සිටිය යුතුය. ගෝටව පිට රට තියන්න අරගලය තිබිය යුතුය. අරගලය තියෙන්න රටේ මිනිස්සුන්ට එදිනෙදා වැඩ නැති විය යුතුය. එදිනෙදා වැඩ නැති වෙන්න රටේ බල ශක්තිය නැති විය යුතුය. බල ශක්තිය නැතිවෙන්න රටේ තෙල් නැති විය යුතුයි. රටේ තෙල් නැතිවෙන්න ‍CEYPETCO බංකොලොත් වී IOCද තෙල් නොදී සිටිය යුතුයි. IOC එකෙත් තෙල් නැතිවෙන්න ඉන්දියාව ඊට කටයුතු කල යුතුය. ඉන්දියාව shape කරගන්න රනිල් කටයුතු කල යුතුය.,Positive,428
අපේ රටේ බොහෝ අය මේ වන විට හිතන් ඉන්නේ system change කලොත් මේ රට හදන්න පුලුවන් කියලා. මොකක්ද ඔය කියන system change කියලා ඇහුවොත් ඒක මොකක්ද කියලා කියන්න කවුරවත් දන්නවද? හැමෝම වගේ කෑ ගහනවා විතරයි. මොකක්ද ඔය කියන system change එක කියලා ඇහුවම කියන්නේ 225ම ගෙදර යවන්න ඕනෙලු. එතකොට system change කරනවා කියන්නේ ඔලු ගෙඩි මාරු කරන එකද?,Positive,325
"වර්තමානයට සාපේක්ෂව මම තරුණ කාලෙදි ගොඩක් කේන්ති යන කෙනෙක් විදියට හරි ප්‍රසිද්ධයි. විශේෂයෙන්ම තරුණ කාලෙදි රගර්, පාපන්දු, මල්ලවපොර වගේ ක්‍රීඩාවන් කරලා ඒ නිර්මාණය වෙච්ච attitudes නිසාම, මගේ ගාව කියාගන්න තේරෙන්නෙ නැති අමුතු මොරාල් එකක් හැමදාමත් තිබුණා. ඒ නිසා එදා ඉඳන්ම දෙයක් කරන්න ඕන කියල හිතුණොත් කෙක්කෙන් හරි කොක්කෙන් හරි ඒක කරන පුරුද්දක් මා ගාව තිබුණා.",Positive,351
2022 T20 ලෝක කුසලානය මව්බිමට රැගෙන ඒමට අපේ කොල්ලන්ට සුබ පතමු.,Positive,61
Road sefety world series 2022  තරගාවලියේ අනුශූරතාවය දිනා ගත් අපේ සිංහ ලේජන්ඩ්ස්ලාට සුභ පැතුම් .........,Positive,103
ආදායම ලක්ෂයට වැඩි නම් Tax ගෙවන්න වෙන්නේ මෙහෙමයි,Negative,47
Red Bull නිර්මාතෘ සහ Formula One ධාවන කණ්ඩායමේ නිර්මාතෘ සහ හිමිකරු වන ඔස්ට්‍රියානු ප්‍රකෝටිපති Dietrich Mateschitz මිය යයි!,Negative,123
"මේ රට හදන්න බෑ Patta දූපත් වාසි ගෝත්‍රක ව හ ල්ලු ඉන්න රටක් මේක 😂🤦‍♂️
පව් වැඩේ අර ගුරුතුමිය…",Negative,92
"හෙට (20) සිට බලපැවැත්වෙන පරිදි පුටින් විසින් යුක්රේනයේ  ඩොනෙට්ස්ක්, ලුහාන්ස්ක්, කෙර්සන් සහ සපොරිෂියා ප්‍රදේශවල marshal law ප්‍රකාශයට පත් කරයි.",Negative,142
ඉහළ යන ජීවන වියදම් සම්බන්ධයෙන් Paris වීදිවල දැවැන්ත විරෝධතා...🔥,Negative,63
ඊයේ අපේ performance එකට නොහිතූ විදියට ගොඩාක්  comments ලැබුනා.. තාමත් ලැබෙනවා.. ඒවා එවපු ඔයාලා…,Positive,95
ජන අරගලයට wrong generation කියන උන්ට කියන්න තියෙන්නෙ ඕං කටේ නරිවාදං රෙද්ද පල්ලෙං බේරෙනව කියල...,Negative,95
ශ්‍රී ලංකාවේ ප්‍රධාන රාජ්‍ය විශ්වවිද්‍යාලයක් වන මොරටුව විශ්වවිද්‍යාලය අධ්‍යාපනයේ නවතම පියවරක් ලෙස අරඹන ලද ‘පුහුණු ෆුල් ස්ටැක් ඩිවලොපර් (Trainee – Full Stack Developer) පාඨමාලාව මාර්ගගත ක්‍රමයට ආරම්භ කිරීම අද සිදුවිය.,Positive,216
"#wearewithගොට්ට fuckers trying to dilute/change the narrative with “225මඑපා” and all kinds of other crap.
#අහුවෙන්නඑපා ",Negative,119
අවුලක් නැහැ! Asia Cup එකත් දින්නෙ first match එක Afghanistanගෙන් ගූ වෙන්න කාලා නේ!,Positive,82
"කුළුබඩු නැතත් කුඩු පිරි හෙටක්. When it comes to sinking to new lows, we've truly become the Express Pearl of the Indian Ocean.",Negative,126
"එයාලට ඕනේ අපිව අවුස්සන්නයි. Don’t give them the satisfaction! අපිට ප්‍රචන්ඩත්වයක් එපා! අපි සාමකාමීව මේක දිනමු 🙏🏽 අපි සහ ඒගොල්ලොන්ගේ වෙනස ලොකයම දන්නවා, දකිනවා ",Negative,158
"සුදූ Trending 1 බෝයිස් !!! 
මාස 11 කට පස්සෙ වීඩියෝ එකක් දැම්මෙ ට්‍රෙන්ඩිං තියා විවුස් ලකෂයක් ගහගන්න බැරිවෙයිද බයෙං ! ඒ අදරේට ආදරෙයි !! තව වීඩියෝ මග එන ගමං !! Love you all 😘",Positive,172
"ජීවිතේ ලස්සන වෙන්නෙ අපි ගන්න තීරන එක්ක. ඒ නිසා don't be afraid to express yourself in different ways🫶🏼
@lankatiles Mosaics සමඟ තමන්ට match වෙන style එක හදා ගන්න!",Positive,162
අපි අපිට කැමති විදියට විරෝදය දක්වමු. සිංදු කියන්න එපා selfie ගහන්න එපා රගන්න එපා කිය කිය ඉන්න වෙලාවෙ තමන්ට හැකි විදියට එය කරන්න. විවිද රට වල විවිද විදියට විරෝධතා දක්වනවා. ඔයාලත් කැමති සහ පුලුවන් විදියට එකම අරමුණකට විරෝධතාවය දක්වන්න. කලාකරුවෙක් වේවා වෙනම් රැකියාවක් කරන අයෙක් වේවා ඔවුන්ගේ අඩුපාඩු හොයන්න වෙහෙස නොවී මේ වෙලාවේ තමන්ගෙ රට වෙනුවෙන් පෙනී සිටිමු,Negative,354
ONLINE TRAFFIC එකක් හදල මගේ අතට TICKETS ටික එන්නත් කලින් නෙළුම් පොකුණෙ ආසන 1250 ම පැය 48 ක් ඇතුළත පුරවපු ඔබේ ආදරය මැජික් එකක්.මේ RECORD එක තිබ්බෙ මම නෙමේ.ඔබ.MyTickets.lk එකේ servers වෙනස් කරන්න තරම් ඔබේ ආදරය බලවත් වුණා.,Positive,219
"#1 in Trending 
Apple Music 
මන්දාරම් කතාවේ - හතේ හත..!!!",Positive,57
"ඔබගේ සිහිනය යටි සිතට Download කරන්න අවශය වන්නේ යටි සිත උඩු සිතට සාපේක්ෂව දශ ලක්ෂ ගුණයක් බලවත් නිසයි. යටි සිතට සිහිනය සහ විශ්වාසය Download කරන විද්‍යාව මුල සිට සරලව පැහැදිලි කරන විශිෂ්ටතම පාඨමාලාවේ නව කණ්ඩායම සමග එකතු වෙන්න.
ඒ පිළිබඳව ඉගෙන ගනිමින් ඔබගේ සිතිවිලි රටාව වෙනස් කරන වැඩබිමක් වශයෙන් Reshape Your Mindset පාඨමාලාව හැදින්විය හැකියි. බොහෝ දෙනෙක් ගැඹුරින් කතා නොකරන දෙයක් ගැන, ගැඹුරින් සහ රසවත්ව දැනගන්න දොළොස් දෙනාගේ කණ්ඩායමට එකතු වෙන්න.",Positive,444
"දිනන්න බැට් එක ඕනෙම නෑ නම්කි, අපි ලංකාවෙ 😁😁😂😂 WHAT AN AMAZING WIN! Glad we got to watch it from the stadium itself 🔥
.
",Positive,120
"2022 වසර සඳහා වන බුකර් සම්මානය ශ්‍රී ලාංකික ලේඛක ශෙහාන් කරුණාතිලකට හිමිවෙයි.
2011 වසරේ තම පළමු නවකතාව Chainaman රචනා කරමින් ඔහු වැදගත් සාහිත්‍යික එළඹුමක් සනිටුහන් කළේය. Chainaman ක්‍රිකට් විශය කරගනිමින් ලියවුණු දෙවන හොඳම නවකතාව ලෙස පිළිගැනෙයි. බුකර් සම්මානයට පාත්‍ර වුණු Seven moons of Mali Almeida ඔහුගේ දෙවන නවකතාවයි.",Positive,320
මේ post එක හදල තියෙන්නේ පොඩි කාලේ ඉදලා මගේ ලගින්ම එහා පැත්තෙන් හිටපු මල්ලි කෙනෙක් වෙන්න ඕන . ම්ම්ම් මම හැදුන වැඩුන කොල්ලුපිටිය අරලිය ගහ මන්දිරය ඉස්සරහ තියෙන මගේ පාසල මෙතෝදිස්ත විදුහල මුඩුක්කුවක් නම් මේ post එක දාපු මල්ලිගේ geographical knowledge එක ගැන දුකයි . මගේ බුද්ධි මට්ටම ගැන ප්‍රශ්න කරන්න කලින් ඔබගේ මානසික සහ බුද්ධි මට්ටම පරීක්ෂා කරගත්තොත් නරකද? මෙහෙම හැංගිල post හදලා මඩ campaign කරන්නේ නැතුව එන්න්කෝ මල්ලි මුහුනට මුහුන සුහදව කතා කරන්න .,Negative,446
"සමාගමකට අවුරුදු 17 ක බදු සහනයක් දෙන්න ඕනද?
සමාගමකට අවුරුදු 17 ක බදු සහනයක් ගන්න BOI එක ඊයේ මුදල් කාරක සභාවට ආවා. ඒ සමාගමට එම දිගු කාලීන බදු සහනය දෙන්න ඕන ඇයි කියල ප්‍රමාණවත් විශ්ලේෂණයක් BOI එක ඊයේ ඉදිරිපත් කළේ නෑ. BOI එක අද ඒ විශ්ලේෂණය දුන්නා.    
නමුත්, මම මුදල් අමාත්‍යවරයාගෙන් ප්‍රශ්න කළේ පාන් ගෙඩියට බදු ගහන රටක් ඇත්තටම අවුරුදු 17 කට සමාගමකට බදු සහනයක් දෙන්න ඕනද කියලයි?",Negative,376
"මිතුරනි,පුරවැසියනි,
සසිඳු සහන් තාරක ඇතුළු,සාමකාමී උද්ඝෝෂණකරුවන්ට එරෙහි මර්ධනය හෙළා දකිමු 📢✌,
Justice for Sasindu & others .",Negative,125
"ගුරුවරුන්ට හම්බ වෙන්නේ සාපේක්ෂව අඩු වැටුප්. ටියුෂන්වලින් හම්බ කරන්නේ ගුරුවරුන් අතරින් ඉතා ම සුළුතරයක්. බහුතරයක් ගුරුවරුන් බොහෝ අගහිඟකම් තිබුණත් ඒවා විඳදරාගෙන ඉන්න්, කාටවත් අතපාන්නෙ නැතුව තමන් ගේ රස්සාවත් කරගෙන ජීවත් වෙන්න හදන ‘middle class trap’ එකේ හිරවෙච්ච මිනිස්සු පිරිසක්. ",Negative,277
"පොලිසිය ඉහලින් එන orders වලට ,
 අරගලය තුල ගැටලු කාරී තත්වයක් නිර්මාණය කරල , තරුණයන්ව පොලඹවල ඔවුන්ව බලහත්කාරයෙන් රැගෙන යනව",Negative,122
දවස් දෙකක් යාමටත් ප්‍රථම මිලියනයක් බලා ඇත...trending ලයිස්තුවේ එකට පත් වී ද ඇත.,Positive,79
"මිලියනයක  ආදරය , හදවතේ trending වූ ""සෙංකඩගල නුවරට වහින වැස්සට ""තෙමුන  ඔබ හැමදෙනාටම ස්තූතියි",Positive,91
Music Oven එකේ කොල්ලෝ set එක WaterMelonEvents කරපු පළවෙනි Event එක.,Positive,67
බලන්න engine gimbal වලින් රොකට් එක ලස්සනට බැලන්ස් කරන හැටි. Sonic boom ටිකත් ඇහෙනව..,Positive,84
"මන්දාරම් කතාව එක්ක.,
BMICH එකේදී හම්බෙමු..!! 
හතේ හත live in concert ",Positive,69
ක්‍රමිකව ප්‍රාථමික අධ්‍යාපනයේ සිට සහා ගුරු පුහුණු අධ්‍යාපනයට gender studies කියන විෂය අනිවාර්ය විෂයක් විදිහට ඇතුලත් නොවීමේ ඵලවිපාක!,Negative,131
"මාස 4ක් තිස්සේ නැති වුන දේවල් ගැන ලිස්ට් එකක් දාන්නම්
Sales කරන marketing කරන factory වල හිටිය ආනයනය කරල භාන්ඩ හා සේවා ලබා දෙන කොල්ලෝ කෙල්ලන්ගේ නැති වුන ජොබ් ගැන පේන් නෑනේ ඔයාලට",Negative,177
"ඔවුන් විරෝධය පෑවේ ඒ අමන පාලකයින්ට, අමන පාලනයට . හැබෑවටම අපිට ඕන කරන්නේ System Change එකක්. එහෙම නැතිව දුක් විඳින මිනිස්සුන්ව තවත් නැත්තටම නැතිකරන්න නෙමෙයි .",Negative,156
පෞද්ගලිකවම මා හට අපහාස කිරීමේ අරමුණින් මාධ්‍යවේදී නම් ව්‍යාජව සකසා ගනිමින් fake profile හදාගනිමින් මේ සුදුකරන්නාවූ පදනම් විරහිත චරිත ඝාතන සම්බන්ධයෙන් මෙහි නම් සදහන් සියලු කලා ශිලිපීන් නීතිමය පියවර ගන්නා බවත් මෙවැනි අසත්‍ය දේවල් ප්‍රචාරය කරමින් සිතාමතා ඒ කටයුතු වලට උදවු වන සියලු දෙනාටත්(මේ පෝස්ට් share කරන) නීතිමය පියවර ගැනීමට කටයුතු කරන බව පැහැදිලිවම සදහන් කරමි.,Negative,364
අනෙක් පුද්ගලයාට කිසියම් පුද්ගල අවකාශයක් තුළ ජීවත් වීම සඳහා වූ අයිතිය හෙවත් right to personal space යන අදහස මරා දමනවා.,Negative,118
"GoHomeGota !!
හැබෑ ගෞරවය නම් සිය අයිතිය වෙනුවෙන් හඬ නැගීම මිස, සද්දයට බියෙන් නිහඬව පෑගී සිටීම නොවේ. 
Go Home Gota !!!!
අරගලය 2.0",Positive,128
"CHAMPIONS....
වසර 8කට පසු ආසියානු ක්‍රිකට් කිරුළ ශ්‍රී ලංකාව 
ඔව් අපට පුලුවන් 
ස්තුතියි ඔබ සියලු දෙනාට සතුටක් ගෙනාවාට
Ada Derana Sports - අද දෙරණ කෙළිබිම",Positive,153
"""මා දිනවන්න"" මගේ අලුත්ම song එක ඔන්න next week එකේ release කරනවා.
Stay tuned ළමයි",Positive,81
"Lanka Tiles ගෙන එන Mosaic tiles එකතුවත් සමඟින්, දැන් ඔබේ ජීවිතයට වගේම ඔබේ නිවසටත් ආවේණික, වෙනස්ම හැඩයක්..",Positive,105
"ගෝඨාභය ඇමරිකන්,ගෝඨාභයගේ නෝනා ඇමරිකන්,පුතා ඇමරිකන්,ලේලි ඇමරිකන්,අයියා ඇමරිකන්,අයියගෙ නෝනා ඇමරිකන්,දරුවන් ඇමරිකන්,ගෙවල් දොරවල් ඇමරිකන්,ගිණුම් 

So American",Negative,153
"Good Morning Everyone 
ඔයාල බලන් ඉන්නෙ අවුරැදු 73 ක් වෙච්ච සීයලා දෙන්නෙක් රට ගොඩ දානකන් නේ 😬😬😬😬",Negative,95
"NETFLIX බලල දේශපාලන ගේම් ඉගෙනගන්න  පුළුවන් වෙයි, HOUSE OF CARDS බලල ජනවරමක් නැතුව ජනාධිපති වෙන්නත් පුළුවන් වෙයි..., ඒ ඔක්කොම Political Games සහ Manipulations.",Negative,158
මේ post එක හදල තියෙන්නේ පොඩි කාලේ ඉදලා මගේ ලගින්ම එහා පැත්තෙන් හිටපු මල්ලි කෙනෙක් වෙන්න ඕන . ම්ම්ම් මම හැදුන වැඩුන කොල්ලුපිටිය අරලිය ගහ මන්දිරය ඉස්සරහ තියෙන මගේ පාසල මෙතෝදිස්ත විදුහල මුඩුක්කුවක් නම් මේ post එක දාපු මල්ලිගේ geographical knowledge එක ගැන දුකයි . මගේ බුද්ධි මට්ටම ගැන  ප්‍රශ්න කරන්න කලින් ඔබගේ මානසික සහ බුද්ධි මට්ටම පරීක්ෂා කරගත්තොත් නරකද,Negative,353
"ඔයාලත් දන්න මුණූ තියනවද? කවදා මේ රට ගොඩගන්නද?
 Hellfire Music Festival එක එපාලු..",Negative,81
අල්ලන් ‍යන්න බැරි අත්...මතක වේදනාවන්ම ඇත් වෙමු..💔Out Now..🎧🔥 Link.....👉🏻,Positive,72
"දින 100 ක් …👊🙏

POSITIONS are temporary. Titles, limited. But the way you treat people will be remembered…❤️",Positive,108
"Nimi official trailor / නිමි - යලි හමු නොවන තැන.

සංවේදි කතාවකට අනපේක්ෂිත අවසාන එක් කළ... ප්‍රේමය නිසා ජීවිතය උඩු යටිකුරු කර ගත් සාවිත්‍රිගේ කතාව... නිමි - යළි හමු නොවන තැන..

IN LOVE. IN DESTINY.
IN BETRAYAL. IN MISTERY.",Positive,223
"Who will going to win today? 

Sri Lanka or India?

My gut feeling says it’s Sri Lanka 🇱🇰, 
Will see what will be result at the end? 

What about yours?

අද දිනන්නේ කවුද?

ලංකාවද? ඉන්දියාවද?

මා හට දැනෙනුයේ ශ්‍රී ලංකාව යන්නයි.

ඔබ සිතන්නේ කුමන රටද?

🇱🇰🇮🇳🇱🇰🇮🇳🇱🇰🇮🇳🇱🇰🇮🇳🇱🇰🇮🇳
#srilanka🇱🇰 #india",Positive,289
"Congratulations Nangi 
Keep up the good work 
සියලු ජය ඔබට
Abhisheka Wimalaweera",Positive,80
"මා විසින් සිදු කරන ලද Live වැඩසටහනක් ඇසුරින් සිදු කෙරෙන මෙම වංචාවට හසු නොවන්න. හැකිතාක් Report කරන්න.
ස්තුතියි.",Negative,111
"මාස 4ක් තිස්සේ නැති වුන දේවල් ගැන ලිස්ට් එකක් දාන්නම්
Sales කරන marketing කරන factory වල හිටිය ආනයනය කරල භාන්ඩ හා සේවා ලබා දෙන කොල්ලෝ කෙල්ලන්ගේ නැති වුන ජොබ් ගැන පේන් නෑනේ ඔයාලට 🤘👍",Negative,180
"අපේ ලංකාව හැදෙන්නෙ නැති දියුණු වෙන්නැති තව හේතුවක් තමයි යොහාන් වගේ අය 😚 ජීවිතේට හොදක් දකින්නෙ නැහැ වගේම රටේ ලෝකෙ වෙන දේවල් ගැන පොඩි අවබෝධයක් වත් නෑ! ඊටත් වඩා, අනුන්ගෙ රෙද්දවල් වලට ඇගිලි ගහන එකමයි කරන්නෙ 😂 මෙයා මට කියනවා “ඇන්ටි අපිට වද නොදී බැදලා තොලොංචි වෙලා යන්නලු” 😂 යකෝ බලන්න බැරිනම් unfollow කරලා යනවකො යන්න! මොකද මේ වගෙ අයට මං ඉදලා හිටලා මෙහෙම උත්තර දෙන්න මං හරිම ආසයි 🤓 
අපහාස කරන එක okay නම් ඒකට reply දෙන එකත් okay ♥️",Negative,425
මාස පහකට කලින් කරපු content එකක් අය පාරක් upload කරා ඒකේ දෙවෙනි content එක අනේ ඉතින් හැංගුන චණ්ඩි පයර් වෙලා පේනවනේ හැදෙන post😅,Negative,126
"හන්තානත් නිහඬ වුන තවත් එක් ආදර කතාවක් ✨.
New Music Video Alert | Dropping Soon",Positive,79
DP Education වඩාත්ම ජනප්‍රිය දේශීය අධ්‍යාපන වෙබ් අඩවිය ලෙස ශ්‍රේණිගත කර ඇති අතර Digital Outlook Sri Lanka 2022 Market Insight වාර්තාවට අනුව ශ්‍රී ලංකාවේ ජනප්‍රියම දේශීය වෙබ් අඩවි 10 අතරට ස්ථානගත වී ඇත!,Positive,201
Inviting you all to join hands with Ceylinco Life if you are still not a policyholder.. ඔබත් අදම Ceylinco Life සමග එකතු වෙන්න...,Positive,128
"ආදරය,ආරක්ෂාව,රැකවරණය,විශ්වාසය,කලගුණ සැලකීම මේ හැම දේකදිම ගොඩාක් මිනිස්සුන්ට වඩා බල්ලො ඉස්සරහෙන් ඉන්නව.
අද එයාලගෙ දවස.එයාලගෙ මුලු ලෝකයම අපි,ඒ නිසා අපේ ලෝකයෙත් ලොකු ඉඩක් එයාල වෙනුවෙන් වෙන් කරමු.
Happy International Dog Day !",Positive,224
"This is Epic!! ❤️
හිරිගඩු පිපෙන තරම් සුන්දරයි...",Positive,49
"ඉන්දියානු අගමැති නරේන්ද්‍ර මෝඩි ගේ අලුත් වාහනේ වෙච්චි Mercedes Benz Maybach එකට ඉන්දියාවේ විරෝධතා එල්ල වෙනවා. මෝඩි ගේ වාහන ප්‍රේමය ගැන පෝස්ට් සමාජ මාධ්‍ය වල පිරිලා. 

අපේ ජනාධිපති වරු දැන් දශක 2ක ඉඳලා පාවිච්චි කරන්නෙත් Maybach ම තමයි. අපිට නම් ඒ හැටි ගාණක් නෑ. ",Negative,261
"Pool එකේ සබං ගාලා නාපු උනුයි අරගල කරපු උනුයි අල්ලල ඉවර වෙලා වෙලාවක් තිබ්බොත් , මේ පොඩි පොඩි ප්‍රශ්න ගැනත් බලන්න රනිල්",Negative,117
"අන්න ඒකයි මේච්චර memes හැදෙන්නේ
ඉරිසියාව 😏😂",Negative,44
උඹලා දන්නැති උණාට අන්න ඒ අස්සේ යක්කු පොඩි එවුංට විෂ ත්‍රීපෝෂ දීලලු....... දෙයියො cute උණාට යක්කු Cute නෑ..... උං යක්කුම තමයි.......,Negative,131
සිංහල සිනමාවෙ අපෙ superstar හෙට නිදහස් වෙනවා Ranjan Ramanayake අයියෙ ආවාටකමක් නැ අනෙ වදින්නම් කට වහාන් හිටපං😂හොරැ අල්ලන්න යන්න එපා කුඩ්ඩො හොයන්න යන්න එපා.තියන දෙයක් කාලා.ජානතාව වෙනුවෙන් කරන්න පුලුවන් දෙයක් කරන් ඉන්න,Negative,215
Wow congratulations akki and aiya ❤️🎉ඔන්න එයාලා crescat boulevard එකෙ අලුත් branch එකක් open කරා.best place හරිම ලස්නයි එයාලාගෙ වැඩ❤️,Positive,133
දිනපතා Comment කරන Post Share කරන ඒ වගේම Happy Customer Post වලට Happy Gaming කියලා Comment කරන අපිත් එක්ක හැමදාම ඉන්න අය වෙනුවෙන් තෑගි රැසක්.,Positive,142
ලංකාවෙ ජාත්‍යන්තරව පිලිගත්ත එකම සුනඛ ලියාපදිංචි ආයතනය The Kennel Association of Lanka - KASL. මමත් KASL රෙජිස්ටඩ් purebred බල්ලෙක් ගත්තා,Positive,137
SMART වැඩිහිටියන් නිර්මාණය කල යුතුව ඇත! නැත්නම් එහි බලපෑම තවත් දශක දෙකක් සමස්ථ රටකට අත්විඳීමට සිදුවනු ඇත!,Positive,105
Chemistry දැනුම ආශ්‍රයෙන් පවත්වන ශ්‍රී ලංකාවේ පළමු විෂයානුබද්ධ අවුරුදු උත්සවය❤,Positive,78
People's Insurance PLC නම් දාන්න එපා!,Negative,38
රට IT වලින් දියුණු කරන්න ආපු අය compter ආනයනය තහනම් කරාම 🥴👍🏼,Negative,60
"පාරට බැහැලා කරන්න පුලුවන් මගුලක් නෑ උඹලට.
සමහරවිට මේ post එකට ගොඩාක් අය මට බනීවි.නමුත් යථාර්ථය මෙකතමයි.",Negative,104
මිනිස්සු පාරට නොබැස්සානම් තවමත් PhotoCopy කබ්‍රාල් සල්ලි අච්චු ගහනවා.. 💰,Negative,72
"අන්තිමට Phone එකත් ""අති සුඛෝපභෝගී"" භාණ්ඩයක් විය.. 🇱🇰 ඔයාගේ Phone එක ගත්තු ගානයි, දැන් ගානයි comment කරමු බලන්න.",Negative,111
"Internship Opportunity , Internship එකක් කරන ගමන් ඉගෙනගන්න ආස වැඩ්ඩෙකුට!!! මොනවාද ලැබෙන්නෙ : 1. Salary එකක් දෙනවා.",Positive,114
"වයඹ, නැගෙනහිර පළාත් දෙකේ ඉන්න 18-35 අතර කාන්තාවන්ට ICT Scholarship එකකට apply කරන්න chance එකක් තියෙනවා. Certificate එක දීලා, career guide එකක් දීලා, job placement වෙනකම් ම යනවා..",Positive,179
"ලෝක පූජිත ""The Booker Prize"" සම්මානයෙන් පිදුම් ලැබූ The Seven Moons Of Maali Almeida ග්‍රන්ථයේ කතෘ ශෙහාන් කරුණාතිලක හට උණුසුම් සුභ පැතුම්!!!",Positive,140
ඔයාට පුලුවන් ජිවිතේට තව දවසක් දෙන්න 🌸 Trust me 200%,Positive,51
සීතල නත්තලේ අපිත් එක්ක chill වෙන්න,Positive,34
"හැමදේම negative හිතන්න හිතන්න කොහොමත් negative. අවුරුද්දත් ""මස්තබාල්දුයි""",Negative,73
මට නිකන් හිතෙනවා political special එකක් කරන කෙනෙක් සෑහෙන්න සාපයක් කර ගසා ගෙන ජීවන් වෙනවා කියලා මම මේ කතාව සෑහෙන්න කේට කරන්නත් අමතක කරන්නේ නම් නෑ,Negative,144
ෆේස්බුක් එකෙන් මට warning එකක් ආවා මම community standards violate කලා කියලා,Negative,75
මම අහලාවත් නැති කුනුහරුප වලින් බැනලා තියෙන comments වලට,Negative,55
"පානදුරේදී දවසක් රෑ කන ගමන් සෙට් වුනේ මේ Rap මල්ලිව.
ආඩම්බරයි Bro. කවදද Music Video එක release කරන්නේ ? 🔥
අපි කොහොමහරි සිංදුව Hit කරලා ගමු කොල්ලෝ ",Positive,148
රැල්ලට නැතුව ක්‍රිකට් කියන game එකට support කරන ඔක්කොම දිගටම අපේ team එකත් එක්ක ඉදීවි! The most important thing is to keep supporting our Lions,Positive,143
"අද Match එකට කාලගුනය බලපායිද? 
ගොඩක් දෙනෙක් ඇහුවා . බයවෙන්න දෙයක් නෑ හොඳට රස්නෙ තියෙනවා අහස පට්ට පැහැදිලි",Positive,105
"සල්ලි හම්බ කරනවට වඩා අමාරුයි හොද මිනිසුන් හම්බ කරන එක... මේ ඉන්නෙ මම හම්බ කරපු මිනිසුන් ....
මගේ ජීවිතයේ මට ලැබුනු හොදම gift එකක් තමයි මේ video එක.. Thank you so much හැමෝටම ඔයාලගේ වටිනා කාලයෙන් පොඩි වෙලාවක් අරගෙන මට wish කරාට
මේක හදලා මාව surprise කරාට ගොඩාක් ආදරෙයි",Positive,267
කවදහරි දවසක රෝද පුටුවක වැඩිහිටි නිවාසෙක මම මාව imagine කරලා ඉවරයි,Negative,65
Gotta Go Home කිව්වට ගෝල්ෆේස් පිටියෙන්නම් ගෝඨාභය කොහොමද යවන්නේ කියලා නම් කියන්නේ නෑ,Negative,83
මම ගැන social media වල යන news සම්පූර්ණයෙන් අසත්‍යයි.රඟපෑමෙන් සම්පූර්ණයෙන්ම අයින් වුණා,Negative,86
සින්දු කියද්දිත් නාහෙන් අඬනවා criticize කරද්දිත් නාහෙන් අඬනවා,Negative,61
"අරගලය වෙනස් විදිහකට එනවා,පාසල් දරුවෝ පවා පාරට එයි.
ආහාර අර්බුධය ඒ තරම් දරුණු තැනකට එනවා 
",Negative,91
අපේ කොල්ලන්ගේ ඒ සුපිරි මොහොත !!! Congratulations .,Positive,50
ඔබේ Star Points 50ක් donate කරලා මේ මහගු කටයුත්තට ඔබත් Dialog සමග එකතුවෙන්න.,Positive,76
Good morning! ☀️අළුත් සිංදුවක් දාන්නද? නැත්තම් Album එකක් දාන්නද?,Positive,65
Happy birthday පොඩි නෑනෝ..,Positive,26
"Thank you so much for everything mother Rathnavali
පිනැති මව් නුඹ යෙහෙන් වැජඹේවා ",Positive,82
Visa තුන් පාරක් reject උනා. So මම ගොඩක් disappoint උනා.,Negative,56
ඒ Video Clip එක මට ලොකු damage එකක් වුණා.,Negative,41
රටේ situation එක නම් very bad. රට විනාස වෙලා තියෙන්නෙ.,Negative,54
